din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-03 15:00:00;SE;SUDESTE;S;SUL;7394.876
2022-01-03 16:00:00;N;NORTE;NE;NORDESTE;1751.022
2022-01-03 16:00:00;N;NORTE;SE;SUDESTE;10360.052
2022-01-03 16:00:00;NE;NORDESTE;SE;SUDESTE;1839.748
2022-01-03 16:00:00;SE;SUDESTE;S;SUL;6802.521
2022-01-03 17:00:00;N;NORTE;NE;NORDESTE;1868.484
2022-01-03 17:00:00;N;NORTE;SE;SUDESTE;10400.875
2022-01-03 17:00:00;NE;NORDESTE;SE;SUDESTE;1941.469
2022-01-03 17:00:00;SE;SUDESTE;S;SUL;8291.78199999
2022-01-03 18:00:00;N;NORTE;NE;NORDESTE;2270.032
2022-01-03 18:00:00;N;NORTE;SE;SUDESTE;10120.293
2022-01-03 18:00:00;NE;NORDESTE;SE;SUDESTE;1698.575
2022-01-03 18:00:00;SE;SUDESTE;S;SUL;7756.623
2022-01-03 19:00:00;N;NORTE;NE;NORDESTE;2076.471
2022-01-03 19:00:00;N;NORTE;SE;SUDESTE;10255.369
2022-01-03 19:00:00;NE;NORDESTE;SE;SUDESTE;1918.943
2022-01-03 19:00:00;SE;SUDESTE;S;SUL;7009.149
2022-01-03 20:00:00;N;NORTE;NE;NORDESTE;1983.242
2022-01-03 20:00:00;N;NORTE;SE;SUDESTE;10346.06
2022-01-03 20:00:00;NE;NORDESTE;SE;SUDESTE;2113.235
2022-01-03 20:00:00;SE;SUDESTE;S;SUL;7355.67
2022-01-03 21:00:00;N;NORTE;NE;NORDESTE;2356.101
2022-01-03 21:00:00;N;NORTE;SE;SUDESTE;10017.315
2022-01-03 21:00:00;NE;NORDESTE;SE;SUDESTE;1639.477
2022-01-03 21:00:00;SE;SUDESTE;S;SUL;6963.191
2022-01-03 22:00:00;N;NORTE;NE;NORDESTE;2392.43199999
2022-01-03 22:00:00;N;NORTE;SE;SUDESTE;9988.233
2022-01-03 22:00:00;NE;NORDESTE;SE;SUDESTE;1425.225
2022-01-03 22:00:00;SE;SUDESTE;S;SUL;7946.162
2022-01-03 23:00:00;N;NORTE;NE;NORDESTE;2046.857
2022-01-03 23:00:00;N;NORTE;SE;SUDESTE;10121.29099999
2022-01-03 23:00:00;NE;NORDESTE;SE;SUDESTE;1641.16
2022-01-03 23:00:00;SE;SUDESTE;S;SUL;8962.723
2022-01-04 00:00:00;N;NORTE;NE;NORDESTE;2127.352
2022-01-04 00:00:00;N;NORTE;SE;SUDESTE;9947.563
2022-01-04 00:00:00;NE;NORDESTE;SE;SUDESTE;1412.034
2022-01-04 00:00:00;SE;SUDESTE;S;SUL;7820.723
2022-01-04 01:00:00;N;NORTE;NE;NORDESTE;2139.535
2022-01-04 01:00:00;N;NORTE;SE;SUDESTE;9576.259
2022-01-04 01:00:00;NE;NORDESTE;SE;SUDESTE;1088.68699999
2022-01-04 01:00:00;SE;SUDESTE;S;SUL;7323.267
2022-01-04 02:00:00;N;NORTE;NE;NORDESTE;1975.028
2022-01-04 02:00:00;N;NORTE;SE;SUDESTE;9856.454
2022-01-04 02:00:00;NE;NORDESTE;SE;SUDESTE;1444.784
2022-01-04 02:00:00;SE;SUDESTE;S;SUL;8731.464
2022-01-04 03:00:00;N;NORTE;NE;NORDESTE;1879.264
2022-01-04 03:00:00;N;NORTE;SE;SUDESTE;9980.724
2022-01-04 03:00:00;NE;NORDESTE;SE;SUDESTE;1632.159
2022-01-04 03:00:00;SE;SUDESTE;S;SUL;8967.915
2022-01-04 04:00:00;N;NORTE;NE;NORDESTE;1958.563
2022-01-04 04:00:00;N;NORTE;SE;SUDESTE;9916.06799999
2022-01-04 04:00:00;NE;NORDESTE;SE;SUDESTE;1421.825
2022-01-04 04:00:00;SE;SUDESTE;S;SUL;8787.645
2022-01-04 05:00:00;N;NORTE;NE;NORDESTE;1519.55
2022-01-04 05:00:00;N;NORTE;SE;SUDESTE;9988.82699999
2022-01-04 05:00:00;NE;NORDESTE;SE;SUDESTE;1636.457
2022-01-04 05:00:00;SE;SUDESTE;S;SUL;8875.936
2022-01-04 06:00:00;N;NORTE;NE;NORDESTE;1322.777
2022-01-04 06:00:00;N;NORTE;SE;SUDESTE;10234.709
2022-01-04 06:00:00;NE;NORDESTE;SE;SUDESTE;1828.736
2022-01-04 06:00:00;SE;SUDESTE;S;SUL;8804.298
2022-01-04 07:00:00;N;NORTE;NE;NORDESTE;659.721
2022-01-04 07:00:00;N;NORTE;SE;SUDESTE;10408.748
2022-01-04 07:00:00;NE;NORDESTE;SE;SUDESTE;2162.692
2022-01-04 07:00:00;SE;SUDESTE;S;SUL;7763.791
2022-01-04 08:00:00;N;NORTE;NE;NORDESTE;792.522
2022-01-04 08:00:00;N;NORTE;SE;SUDESTE;10146.297
2022-01-04 08:00:00;NE;NORDESTE;SE;SUDESTE;2054.78
2022-01-04 08:00:00;SE;SUDESTE;S;SUL;6875.828
2022-01-04 09:00:00;N;NORTE;NE;NORDESTE;1428.45
